Route,Link,Elevation,Distance
Rivanna Trail,http://app.strava.com/activities/32493109,1116,19.8
UVA/RT loop w/ Lewis Mtn segment,http://app.strava.com/activities/67987750,813,8.7
Walnut Creek,http://app.strava.com/activities/70205315,1412,11.7
Sugar Hollow / Blackrock,http://app.strava.com/activities/56684464,2393,13.8
Rockfish to Humpback Rocks parking lot,http://app.strava.com/activities/70913996,2898,14.4
Jarman's Gap,http://app.strava.com/activities/58992224,3449,14.4
Jarman's Gap w/ Turk Mtn Spur,http://app.strava.com/activities/28118499,4159,16.6
Turk Gap / Riprap,http://app.strava.com/activities/62558977,2921,13.5
Three ridges,http://app.strava.com/activities/30484879,4313,13.7
